#HydraHarp 400  Histogram Data			07/09/2021 04:48:03 PM
#channels per curve
65536
#display curve no.
0	1	2	3	4	5	6	7	
#memory block no.
0	4	8	12	16	20	24	28	
#ns/bin
0.0040	0.0040	0.0040	0.0040	0.1280	0.1280	0.1280	0.1280	
#counts
0	0	0	0	6	5	7	1	
0	0	0	0	9	4	2	3	
0	0	0	0	0	1	2	0	
0	0	1	0	1	0	1	4	
0	0	0	0	0	1	0	1	
0	0	0	0	0	0	1	0	
0	0	0	1	2	0	0	2	
0	0	0	0	0	0	1	1	
0	0	0	0	0	1	3	6	
0	0	0	0	3	3	4	5	
0	0	0	0	5	3	6	12	
0	0	0	0	12	1	12	24	
0	0	0	0	14	12	6	26	
0	0	0	0	10	3	17	21	
0	0	0	0	17	10	19	22	
0	0	0	0	39	39	31	38	
0	0	0	0	34	26	32	31	
0	0	0	0	20	11	11	13	
0	0	0	0	6	4	7	6	
0	0	0	0	5	5	11	8	
0	1	0	0	8	10	9	12	
0	0	0	0	17	8	14	17	
0	0	0	0	21	27	37	44	
0	0	0	0	77	80	90	109	
0	0	0	0	185	172	185	233	
0	0	0	0	363	322	427	571	
0	0	0	0	801	668	850	1097	
0	0	0	0	1859	1567	2042	2299	
1	0	1	0	4855	4070	5208	5580	
0	0	0	0	11181	9095	11801	12412	
0	0	0	0	9859	8261	10467	10962	
0	0	0	0	4145	3445	4392	4729	
0	0	0	0	1653	1317	1719	2010	
0	0	0	0	737	614	761	879	
0	0	0	0	342	290	371	406	
0	0	0	0	143	156	162	221	
0	0	0	0	51	68	71	96	
0	0	0	0	32	30	34	32	
0	0	0	0	11	7	13	22	
0	0	0	0	11	9	6	10	
0	0	0	0	6	4	5	6	
0	0	0	0	9	5	5	8	
0	0	0	0	17	11	12	17	
0	0	0	0	35	34	32	38	
0	0	0	0	44	27	35	35	
0	3	0	0	13	15	22	18	
1	4	0	0	10	5	11	23	
5	5	0	0	13	6	11	23	
10	10	0	0	10	4	11	12	
12	13	0	0	6	0	0	5	
13	22	0	0	1	1	6	2	
10	23	0	0	2	0	1	2	
14	14	0	0	0	1	0	3	
17	18	0	0	3	0	2	2	
9	13	0	0	1	0	1	1	
11	13	1	0	1	0	0	0	
11	14	0	0	0	1	0	1	
10	3	0	0	5	0	1	4	
9	7	0	0	4	2	3	3	
2	3	0	0	2	3	4	4	
0	0	0	0	1	0	1	0	
0	2	0	0	1	1	0	5	
1	0	0	0	0	2	2	2	
0	0	0	0	1	2	3	3	
0	0	0	0	2	1	0	2	
